destinationObjects_Organization.id,recipient_org,recipient_org_type,destinationObjects_Organization.organizationSubTypes,country_name,iso3,comment
,UAE Aid,Governments,,United Arab Emirates,ARE,
,Gaza Reconstruction Committee,Governments,,Qatar,QAT,
,Qatar Airways,Governments,,Qatar,QAT,
,Federal Office of Civil Protection and Disaster Assistance,Governments,,Germany,DEU,
,Spanish autonomous community of Valencia,Governments,,Spain,ESP,
,Qatar International Search & Rescue Group - Lekhwiya (Internal Security Force),Governments,,Qatar,QAT,
,Higher Relief Commission,Governments,,Lebanon,LBN,
,"Central African Republic, Government of",Governments,,Central African Republic,CAF,
,Danidas Health Sector Programme Support,Governments,,Denmark,DNK,
,Swiss Development Cooperation/Swiss Humanitarian Aid,Governments,,Switzerland,CHE,
,Swedish Civil Contingencies Agency (MSB),Governments,,Sweden,SWE,
,"United Kingdom, Government of",Governments,,United Kingdom,GBR,
,"Sweden, Government of",Governments,,Sweden,SWE,
,"Switzerland, Government of",Governments,,Switzerland,CHE,
,"Norway, Government of",Governments,,Norway,NOR,
,"United States of America, Government of",Governments,,United States,USA,
,"Germany, Government of",Governments,,Germany,DEU,
,"Russian Federation, Government of",Governments,,Russian Federation,RUS,
,"Netherlands, Government of",Governments,,Netherlands,NLD,
,"Ireland, Government of",Governments,,Ireland,IRL,
,"Italy, Government of",Governments,,Italy,ITA,
,"Denmark, Government of",Governments,,Denmark,DNK,
,"Luxembourg, Government of",Governments,,Luxembourg,LUX,
,"Australia, Government of",Governments,,Australia,AUS,
,"Greece, Government of",Governments,,Greece,GRC,
,"Japan, Government of",Governments,,Japan,JPN,
,"Türkiye, Government of",Governments,,Türkiye,TUR,
,"Slovenia, Government of",Governments,,Slovenia,SVN,
,"Ecuador, Government of",Governments,,Ecuador,ECU,
,"Congo, Government of",Governments,,Congo,COG,
,"Spain, Government of",Governments,,Spain,ESP,
,"New Zealand, Government of",Governments,,New Zealand,NZL,
,Buco Cotonou,Governments,,Switzerland,CHE,
,KFW Development,Governments,,Germany,DEU,
,Education Above All Foundation,Governments,,Qatar,QAT,
,"Kuwait, Government of",Governments,,Kuwait,KWT,
,"Dominica, Government of",Governments,,Dominica,DMA,
,"Poland, Government of",Governments,,Poland,POL,
,"Qatar, Government of",Governments,,Qatar,QAT,
,Unitad Nacional para la Gestion del Riesgo de Desastres,Governments,,Colombia,COL,
,Italian Agency for Development Cooperation,Governments,,Italy,ITA,
15470,Kryvbas Water Canal,Governments,Local Governments,Ukraine,UKR,
15553,Development Through Adult and Non-Formal Education,Governments,National Governments,Ethiopia,ETH,Should be recoded as national NGO
15549,ASSOCIACAO SALVE BIO-MOZ,Governments,National Governments,Mozambique,MOZ,
5910,Rural Water and Sanitation Support Agency,Governments,Local Governments,South Sudan,SSD,Should be recoded as national NGO
4314,"France, Government of",Governments,National Governments,France,FRA,
11512,Ministry Of Health Development Somaliland,Governments,Local Governments,Somalia,SOM,
15926,"Cape Verde, Government of",Governments,National Governments,Cape Verde,CPV,
4862,"Nicaragua, Government of",Governments,National Governments,Nicaragua,NIC,
15184,Public charity foundation (Vaqf),Governments,Local Governments,Uzbekistan,UZB,
15222,Volunteer Movement of Bukovyna,Governments,National Governments,Ukraine,UKR,Should be recoded as national NGO
15439,The Greater Accra Regional Hospital,Governments,Local Governments,Ghana,GHA,
15443,Machghara Government Hospital,Governments,Local Governments,Lebanon,LBN,
15444,Elias Hrawi Governmental Hospital,Governments,National Governments,Lebanon,LBN,
15445,General Directorate of Health in Duhok Governorate,Governments,National Governments,Iraq,IRQ,
15446,Soran General Directorate of Health,Governments,National Governments,Iraq,IRQ,
15447,General Directorate of Zakho Health,Governments,National Governments,Iraq,IRQ,
15448,Beit Jala Governmental Hospital,Governments,National Governments,Palestine,PSE,
