rcrc_ns_name,fts_rcrc_ns_name,other_rcrc_ns_name,country_name,iso3
South Sudan Red Cross,South Sudan Red Cross,,South Sudan,SSD
Sri Lanka Red Cross Society,Sri Lanka Red Cross Society,SRI LANKA RED CROSS SOCIETY COLOMBO,Sri Lanka,LKA
Sudanese Red Crescent,Sudanese Red Crescent,Sudanese Red Crecent Socciety; SUDANESE RED CRESCENT SOCIETY; Sudanese Red Crescent; SUDANESE RED CRESCENT SOCIETYSRCSRC,Sudan,SDN
,Suriname Red Cross,,Suriname,SUR
Syrian Arab Red Crescent,Syrian Arab Red Crescent,SYRIAN RED CRESCENT; SYRIAN ARAB RED CRESCENT; Syrian Arab Red Crescent Organizati,Syria,SYR
,Taiwan Red Cross Society,,Taiwan,TWN
,Red Crescent Society of Tajikistan,Red Crescent Society of Tajikistan; RED CRESCENT SOCIETY OF TAJIKISTAN; RED CRESCENT SOCIETY OFTAJIKISTAN,Tajikistan,TJK
,Croix Rouge District Tanganiyka,,Tanzania,TZA
,Tanzania Red Cross National Society,TANZANIA RED CROSS; TANZANIA RED CROSS SOCIETY; TANZANIA RED CROSS SOCIETIES,Tanzania,TZA
,Thai Red Cross Society,,Thailand,THA
,Timor-Leste Red Cross Society,Cruz Vermelha de Timor Leste,Timor-Leste,TLS
,Togolese Red Cross,,Togo,TGO
,Tonga Red Cross Society,,Tonga,TON
,Tunisian Red Crescent,,Tunisia,TUN
,Turkish Red Crescent Society,TURKISH RED CRESCENT SOCIETY; TURKIYE KIZILAY DERNEGI; THE TURKISH RED CRESCENT,Türkiye,TUR
,,TURKMENISTAN RED CRESCENT SOCIETY; NATIONAL RED CRESCENT SOCIETY OF TURKMEN; NATIONAL RED CRESCENT SOCIETY OF TURKMENISTAN,Turkmenistan,TKM
Uganda Red Cross Society,Uganda Red Cross Society,UGANDA RED CROSS SOCIETY,Uganda,UGA
Ukrainian Red Cross Society,Ukrainian Red Cross Society,Ukrainian Red Cross Society; UKRAINIAN RED CROSS SOCIETY KHARKIV REGIONAL ORGANIZATION; SUMY REGIONAL ORGANIZATION OF THE UKRAINIAN RED CROSS SOCIETY,Ukraine,UKR
,Arab Red Crescent and Red Cross Organization,,United Arab Emirates,ARE
,Uruguayan Red Cross,,Uruguay,URY
,Red Crescent Society of Uzbekistan,,Uzbekistan,UZB
,Vanuatu Red Cross Society,VANUATU RED CROSS SOCIETY,Vanuatu,VUT
,Venezuelan Red Cross,Cruz Roja Venezolana Seccional Zuli; Cruz Roja Sub Comité Guasdualito; CRUZ ROJA VENEZOLANA SECC MERIDA; Cruz Roja Venezolana Secc Apure,Venezuela,VEN
,Red Cross of Viet Nam,,Vietnam,VNM
Yemen Red Crescent Society,Yemen Red Crescent Society,"YEMENI RED CRESCENT SOCIETY, YEMEN ARAB REPUBLIC",Yemen,YEM
Zambia Red Cross Society,Zambia Red Cross Society,ZAMBIA RED CROSS SOCIETY,Zambia,ZMB
Zimbabwe Red Cross Society,Zimbabwe Red Cross,,Zimbabwe,ZWE
,Red Cross/Red Crescent Societies (Confidential),IP not published,,
,,CROIX ROUGE GUINEENNE,Guinea,GIN
,Czech Red Cross,CESKY CERVENY KRIZ RED CROSS,Czech Republic,CZE
,French Red Cross,CROIX ROUGE FRANCAISE,France,FRA
,,TRINIDAD AND TOBAGO RED CROSS SOCIETY,Trinidad and Tobago,TTO
,,MAGYAR VOROSKERESZT BORSOD ABAUJ ZEMPLEN MEGYEI SZERVEZETE,Hungary,HUN
,British Red Cross,BRITISH RED CROSS,United Kingdom,GBR
,Spanish Red Cross,CRUZ ROJA ESPANOLA,Spain,ESP
,,MICRONESIA RED CROSS SOCIETY,Micronesia,FSM
,,KRYQI I KUQ I KOSOVES RED CROSS OF KOSOVA,Kosovo,XKX
,,BAPHALALI SWAZILAND RED CROSS SOCIETY,Eswatini,SWZ
,,LAO RED CROSS (LRC-CBDRR-PROJECT),Lao,LAO
