year,country,iso3,description,source_org,destination_org,destination_org_type,amountUSD,data_source
2022,Mali,MLI,Third Party Monitoring( TPM),UNHCR,Association Malienne de Recherche Action pour le Developpement,NGOs: National,53695,UNHCR partner info
2022,Mali,MLI,Assistance Multisectorielle aux Réfugiés et Demandeurs d’Asile à Bamako et Faragouaran; Scholarship Programme DAFI 2022,UNHCR,Association Malienne pour la Solidarite et le Developpement,NGOs: National,387451,UNHCR partner info
2022,Mali,MLI,"Projet de monitoring de protection, dans le Nord, le Centre et les régions frontalières du Mali; Programme multisectoriel et intégré de Protection à Base
Communautaire dans les zones d’accueil des",UNHCR,Association Malienne pour la Survie au Sahel,NGOs: National,1229798,UNHCR partner info
2022,Morocco,MAR,Programme d’insertion socio-économique des réfugiés urbains au Maroc,UNHCR,ASSOCIATION MAROCAINE D'APPUI A LA PROMOTION DE LA PETITE ENTERPRISE,NGOs: National,511746,UNHCR partner info
2022,Morocco,MAR,Accès aux soins médicaux pour les réfugié-e-s urbains au Maroc,UNHCR,Association Marocaine de Planification Familiale,NGOs: National,677994,UNHCR partner info
2022,Croatia,HRV,CREATING WELLCOMING COMMUNITIES,UNHCR,"ASSOCIATION MI, CROATIA",NGOs: National,95649,UNHCR partner info
2022,South Sudan,SSD,"Protection and assistance to refugees and asylum seekers in Central Equatoria State, South Sudan; Secondary Education Initiative South Sudan",UNHCR,Association Of Christian Resource Organisation Serving Sudan (Across),NGO: International,1869928,UNHCR partner info
2022,Ethiopia,ETH,DAFI Scholarship Programme – Tertiary Education for Refugees,UNHCR,ASSOCIATION OF ETHIOPIANS EDUCATED IN GERMANY,NGOs: National,401292,UNHCR partner info
2022,Mauritania,MRT,Assistance aux réfugiés et demandeurs d'asile en milieu urbain,UNHCR,ASSOCIATION POUR LA LUTTE CONTRE LA PAUVRETE ET LE SOUS DEVELOPPEMENT,NGOs: National,1010019,UNHCR partner info
2022,Ecuador,ECU,"Acompañamiento Integral a NNA, no acompañados y separados en situación de movilidad humana",UNHCR,Association Solidarity and Action,NGOs: National,154746,UNHCR partner info
2022,Italy,ITA,Charter of Rome for a fair and balanced representation of asylum seekers and refugees in the media,UNHCR,ASSOCIAZIONE CARTA DI ROMA,NGOs: National,24207,UNHCR partner info
2022,Italy,ITA,Leaving violence.Living safe (LVLS),UNHCR,Associazione D.i.Re - Donne in Rete contro la violenza,NGOs: National,411411,UNHCR partner info
