year,recipient_location_iso3,total_usd_defl_m_lnha,destination_org_country,total_usd_defl_m,lnha_funding_perc
2021,DEU,,Germany,3.005178158,
2021,PHL,3.9144727747,Philippines,33.182104163,0.117969395655893
2021,SYR,172.705086146051,Syrian Arab Republic,3097.98385951801,0.0557475745444718
2021,RUS,,Russian Federation,0.020346873,
2021,MEX,,Mexico,114.31035593,
2021,HUN,,Hungary,0.263687805,
2022,PAK,126.493472618122,Pakistan,617.170474457001,0.204957103188408
2022,VNM,1.29655556137117,Viet Nam,16.850478393,0.0769447330296443
2022,PHL,6.15641039625188,Philippines,121.813807129,0.0505395122388079
2022,ZAF,3.54063760025455,South Africa,21.520495513,0.164523981249212
2022,AFG,204.890554407594,Afghanistan,4919.72833067199,0.0416467212488556
2022,LBY,2.77745735632962,Libya,223.057482859,0.0124517560259806
2022,SOM,177.157695920138,Somalia,2722.248451838,0.0650777102290296
2022,SRB,1.53057957854509,Serbia,3.659139182,0.418289521774494
2022,MNE,1.3374491138959,Montenegro,0.578153667,2.31331078610264
2022,HUN,4.96614664072849,Hungary,34.323211872,0.144687701700194
2022,KEN,20.7149401210211,Kenya,575.320244979999,0.036005929396316
2022,PNG,6.36012478148253,Papua New Guinea,8.192138988,0.776369247494331
2022,AZE,0.229164458298145,Azerbaijan,14.410324167,0.0159027968866195
2022,MEX,9.69692006296715,Mexico,106.751457696,0.0908364182771295
2022,TLS,,Timor-Leste,6.683274277,
2022,NPL,8.03027594375618,Nepal,23.147976568,0.346910492161864
2023,VNM,3.18647,Viet Nam,5.590657,0.569963422903605
2023,SOM,162.620254064,Somalia,1440.999380302,0.112852410824714
2023,SYR,481.66216095,Syrian Arab Republic,3848.02225331599,0.125171355372213
2023,LKA,7.91686178,Sri Lanka,80.530636666,0.0983086947745751
2023,LBY,37.59760622,Libya,135.943422833,0.276568041590264
2023,PSE,166.14115846297,Occupied Palestinian Territory,2028.5160138,0.0819028084238483
2023,SDN,143.258917737,Sudan,1728.956352108,0.0828586086411805
2023,BEN,2.63895323,Benin,11.1128915,0.237467740056672
2023,HUN,4.43149165,Hungary,13.016631,0.340448434775481
2023,TZA,5.40996646,"Tanzania, United Republic of",86.2305442,0.0627384009945747
2023,RWA,3.51708465,Rwanda,65.697500667,0.0535345274065599
2023,AZE,0.544294,Azerbaijan,11.011916,0.0494277290164582
2023,GHA,4.65083931,Ghana,9.752153,0.476903849847311
2023,MLI,10.21239234,Mali,313.750981416,0.032549355842363
2023,GMB,0.247007,Gambia,11.377223,0.0217106582159812
2023,CIV,2.64688192,Côte d'Ivoire,20.231572,0.130829276143248
2023,ZAF,3.048217,South Africa,5.805911,0.525019587795955
2023,IND,4.98930556,India,12.6381045,0.394782742934275
2023,USA,1.346407,United States,39.834814,0.0337997561630387
2023,NPL,4.02095262,Nepal,16.807393,0.239237139275556
2024,SYR,171.897256058444,Syrian Arab Republic,2086.461150866,0.0823869910000947
