year,donor_org,donor_org_type,total_usd_defl_m_lnha
2017,Stichting ZOA,NGOs: International,0.322153419147867
2017,Food and Agriculture Organization of the United Nations,Multilateral: UN,1.14168851325396
2017,United Nations Human Settlements Programme (UN-HABITAT),Multilateral: UN,0.527712322516982
2017,Orchard Association for Children Protection and Education,NGOs: International,0.109303697039695
2017,Triangle Génération Humanitaire,NGOs: International,0.0664165279864138
2017,War Child UK,NGOs: International,0.176253636185802
2017,Handicap International,NGOs: International,0.0817122069673596
2017,Caritas Switzerland,NGOs: International,0.391820130747965
2017,UN PONTE PER,NGOs: International,0.321514191979486
2017,Terre des Hommes Lausanne,NGOs: International,0.0896541064561249
2017,Jordan River Foundation,NGOs: Local/National,0.00885406676486371
2017,Qatar Red Crescent Society,Other,0.219303791982322
2017,Johanniter International Assistance,NGOs: International,0.208711363322902
2017,Welfare Association - Lebanon Branch,NGOs: Local/National,0.0904063529633845
2017,Fundacion Promocion Social de la Cultura,NGOs: International,0.105350983574276
2017,International Rescue Committee,NGOs: International,0.0763188274637951
2017,Fondazione We World - GVC Onlus,NGOs: International,0.0216555812695954
2017,INTERSOS,NGOs: International,0.00569883717620931
2017,Action Contre la faim,NGOs: International,0.127653952747089
2017,Plan International Myanmar,NGOs: International,0.419463594215347
2017,Metta Development Foundation,NGOs: Local/National,0.108318698624484
2017,World Concern Myanmar,NGOs: International,0.0656027340376511
2017,DanChurchAid,NGOs: International,0.0714531602827476
2017,Danish Refugee Council,NGOs: International,0.777854801994643
2017,Save the Children Fund,NGOs: International,0.142443574986787
2017,World Vision International,NGOs: International,0.268770838439254
2017,Mines Advisory Group,NGOs: International,0.041031627668707
2017,Street Child,NGOs: International,0.276171576349767
2017,United Nations Development Programme,Multilateral: UN,0.547595360266638
2017,Concern Worldwide,NGOs: International,0.052911423646233
2017,Comitato Internationale per lo Sviluppo dei Popoli,NGOs: International,0.37972947779492
2017,Diakonie Katastrophen Hilfe,NGOs: International,0.0641609282320701
2017,WARDI Relief and Development Initiatives,NGOs: Local/National,0.0683860233191629
2017,Women and Child Care Organization,NGOs: Local/National,0.0541845438713981
2017,Save Somali Women & Children,NGOs: Local/National,0.0708935344720438
2017,IsraAID,NGOs: International,0.118034315593647
2017,Save the Children International,NGOs: International,0.889148122659995
2017,GOAL,NGOs: International,0.0573587251840816
